"医 療 機 関 名 称","医療機関所在地",""電話番号","開設者氏名","管理者氏名","備　考"
"そよかぜ薬局　前野町店","〒174－0063 板橋区前野町三丁目３１番１号","03-5914-1587","株式会社　東京メディカルサプライ　代表取締役　大塚　吉史","茂木　宏彰","薬局現存"
"薬局トモズ　上板橋北口店","〒174－0071 板橋区常盤台四丁目３１番３号","03-5399-3334","株式会社　トモズ　代表取締役　德廣　英之","石橋　寿丈","薬局現存"
"ひかり薬局","〒173－0032 板橋区大谷口上町２１番６号　森本ビル１階","03-5917-2580","株式会社　エスピーシー　代表取締役　氏家　永","多賀　久美子","薬局現存"
"遊佐一貫堂薬局","〒173－0024 板橋区大山金井町３９番１４号","03-3972-8685","有限会社　遊佐一貫堂　取締役　遊佐　敬憲","石井　静代","薬局現存"
"日生薬局　板橋店","〒173－0032 板橋区大谷口上町２１番８号","03-5917-8988","ミアヘルサ　株式会社　代表取締役　青木　勇","横山　恵梨香","薬局現存"
"クレア薬局","〒174－0074 板橋区東新町二丁目７番２号","03-3530-6246","有限会社　メガバック　代表取締役　尾島　清二","金子　祐子","薬局現存"
"いちご薬局　徳丸店","〒175－0083 板橋区徳丸二丁目２１番８号","03-3932-4115","有限会社　メディコ　代表取締役　雨宮　恵司","五十嵐　恵美","薬局現存"
"金芳堂薬局","〒173－0035 板橋区大谷口一丁目１５番８号","03-3956-2488","山下　美紗子","山下　美紗子","薬局現存"
"よしだ薬局　小茂根店","〒173－0036 板橋区向原三丁目１０番１９号　カーサモリタ５　１階１０２号室","03-3530-0315","有限会社　よしだ薬局　代表取締役　田　利哉","大野　桃代","薬局現存"
"スマイル薬局","〒174－0065 板橋区若木一丁目１７番１７号　佐古田ビル１階","03-5399-8313","株式会社　ひだまり　代表取締役　多賀谷　洋子","多賀谷　洋子","薬局現存"
"ケーアイ蓮根薬局","〒174－0046 板橋区蓮根二丁目２０番１２号　エクシオールＳ１階","03-5994-0641","伊藤　一典","伊藤　一典","薬局現存"
"ひまわり薬局","〒173－0004 板橋区板橋一丁目３３番９号　はりよしビル１階","03-5375-4761","有限会社　ひまわり薬局　代表取締役　工藤　美佐子","工藤　美佐子","薬局現存"
"あおば薬局","〒174－0051 板橋区小豆沢二丁目２６番１３号","03-3558-5088","有限会社　あおばメディカルシステムズ　代表取締役　石垣　栄一","松戸　和子","薬局現存"
"みずほ薬局","〒174－0046 板橋区蓮根二丁目１９番１９号","03-5916-0556","有限会社　みずほ調剤　代表取締役　内藤　浩由","古野　智美","薬局現存"
"いづみ薬局　板橋店","〒174－0051 板橋区小豆沢二丁目３６番１３号　マツエクリニックビル１階","03-3960-0551","株式会社　いづみ薬局　代表取締役　谷戸　正之","萩原　康夫","薬局現存"
"大山鈴薬局","〒173－0014 板橋区大山東町１８番４号　北岡ビル１階","03-5248-7027","株式会社　エスシーグループ　代表取締役　皿澤　康孝","前島　朱里","薬局現存"
"ニック向原薬局","〒173－0036 板橋区向原三丁目１０番１５号　向原ビューハイツ１０３","03-5966-3831","株式会社　ニック　川　正男","飯田　和子","薬局現存"
"アカツキ薬局","〒173－0001 板橋区本町２９番８号","03-3961-3936","有限会社　アカツキ　取締役　畑　七瀬","畑　七瀬","薬局現存"
"薬局くすりの福太郎　上板橋店","〒174－0075 板橋区桜川三丁目２３番２号　コモディイイダ桜川店２階","03-5921-2029","株式会社　くすりの福太郎　代表取締役　小川　久哉","小沼　厚平","薬局現存"
"しろくま薬局","〒174－0071 板橋区常盤台三丁目２３番６号　Ｋ＆Ａステラ１階","03-5915-1230","イントロン　株式会社　代表取締役　増子　治樹","三田　眞代","薬局現存"
"かい薬局　光が丘店","〒175－0093 板橋区赤塚新町三丁目３２番１４－１０４号","03-3977-4545","株式会社　かい薬局　代表取締役　甲斐　治","甲斐　治","薬局現存"
"ウエルシア薬局　板橋志村店","〒174－0056 板橋区志村一丁目３番１号","03-5914-4755","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","横田　雄仁","薬局現存"
"プラザ薬局　板橋店","〒173－0015 板橋区栄町２８番５号","03-6905-7871","株式会社　薬栄　代表取締役　三津原　庸介","阿部　由季","薬局現存"
"ダイエー成増店薬局","〒175－0094 板橋区成増二丁目２１番２号","03-5998-2421","株式会社　ダイエー　代表取締役　近澤　靖英","野口　裕太郎","薬局現存"
"中川薬局　高島平店","〒175－0082 板橋区高島平二丁目２１番２号","03-5922-6831","株式会社　グラム　代表取締役　中川　広美","松村　貴義","薬局現存"
"ペンギン薬局","〒173－0031 板橋区大谷口北町２６番５号","03-5917-5230","株式会社　北池調剤薬局　代表取締役　金子　義博","森丘　宏美","薬局現存"
"ソーシン薬局　板橋志村店","〒174－0056 板橋区志村一丁目３４番１６号　１階　シャトル坂上","03-3558-5808","有限会社　ソーシン　取締役　小杉　潤造","江森　喜代美","薬局現存"
"日本調剤上町薬局","〒173－0032 板橋区大谷口上町２８番９号","03-5966-8621","日本調剤　株式会社　代表取締役　三津原　庸介","服部　哲郎","薬局現存"
"ゆみ薬局　坂上店","〒174－0051 板橋区小豆沢二丁目１９番５号","03-5970-8900","株式会社　ゆみ薬局　代表取締役　池亀　亙","田原　幸裕","薬局現存"
"つばさ薬局","〒175－0083 板橋区徳丸六丁目４５番６号　１０２号","03-5922-6558","細野　和之","細野　和之","薬局現存"
"御代の台薬局　志村坂上店","〒174－0051 板橋区小豆沢二丁目１９番７号　渡辺ビル１０２","03-5392-0292","みよの台薬局　株式会社　代表取締役　津城　尊利","田宮　弘貴","薬局現存"
"みその薬局　西台店","〒175－0082 板橋区高島平九丁目５番７号　杉本ビル１階","03-3937-3957","株式会社　メデカルユニオン　代表取締役　並木　友子","小高　良太","薬局現存"
"ユニバーサルドラッグ薬局　志村坂上調剤店","〒174－0051 板橋区小豆沢三丁目６番５号","03-5392-2258","ユニバーサルドラッグ　株式会社　代表取締役　篠田　一","豊田　榮朗","薬局現存"
"すみれ薬局","〒175－0082 板橋区高島平一丁目７２番１４号１０１","03-3935-3080","エスケイメディカル　株式会社　代表取締役　小原　賢二郎","松村　敬広","薬局現存"
"ゆみ薬局","〒175－0082 板橋区高島平一丁目７４番７号　藤ハイム１階","03-3934-3973","株式会社　ゆみ薬局　代表取締役　池亀　亙","池亀　亙","薬局現存"
"成増調剤薬局","〒175－0094 板橋区成増一丁目１４番１９号","03-3977-3520","株式会社　マル・コーポレーション　代表取締役　丸　孝弘","丸山　洋一","薬局現存"
"まえの６丁目薬局","〒174－0063 板橋区前野町六丁目２７番５号","03-3965-8107","株式会社　アルボ　代表取締役　森本　浩彰","千葉　利永子","薬局現存"
"ケイロン薬局　ターミナル店","〒175－0082 板橋区高島平六丁目１番１号　板橋トラックターミナル管理棟１階","03-6905-8536","有限会社　ケイロン　代表取締役　安部　久美子","安部　好弘","薬局現存"
"サーマル薬局","〒175－0094 板橋区成増三丁目１６番１７号","03-6662-6106","有限会社　ファーマ・トラスト　髙　功生","安戸　千絵","薬局現存"
"ウエルシア薬局　板橋赤塚店","〒175－0092 板橋区赤塚六丁目１番２６号","03-3977-1388","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","木村　桂子","薬局現存"
"サニー薬局","〒173－0014 板橋区大山東町５７番６号　トナハイツ１階","03-5248-2058","株式会社　サニーファーマシー　代表取締役　保坂　洋二","向田　純子","薬局現存"
"たんぽぽ薬局　中板橋店","〒173－0021 板橋区弥生町２９番１０号　弥生ファミリーハイツ１０２号","03-5964-6480","株式会社　あけぼの　代表取締役　新村　理恵子","並木　邦仁","薬局現存"
"ときわ南薬局","〒174－0072 板橋区南常盤台一丁目５番４号　ベトラハウス１階","03-5995-7750","株式会社　ときわ調剤　代表取締役　角田　大知","角田　大知","薬局現存"
"ぽぽる薬局","〒173－0026 板橋区中丸町５１番１０号","03-5995-1172","有限会社　アルファプランニング　代表取締役　田村　伸一","野本　梨絵","薬局現存"
"パル薬局　蓮根店","〒174－0043 板橋区坂下一丁目３５番１６号","03-5916-1820","株式会社　パル・オネスト　代表取締役　齋藤　信夫","鈴木　実穂","薬局現存"
"新ときわ台調剤薬局","〒174－0071 板橋区常盤台一丁目２７番４号","03-6794-5828","株式会社　セカンド企画　代表取締役　髙倉　秀彦","西喜　博子","薬局現存"
"板橋区薬剤師会管理センター薬局","〒174－0071 板橋区常盤台一丁目４０番１号　木下ビル１階","03-5915-5778","一般社団法人　板橋区薬剤師会　代表理事　高橋　賢","中尾　郁子","薬局現存"
"あすみ調剤薬局","〒174－0041 板橋区舟渡二丁目２０番１６号","03-6454-5638","株式会社　あすみ　代表取締役　山口　正子","山口　正子","薬局現存"
"調剤薬局ツルハドラッグ　小竹向原店","〒173－0036 板橋区向原三丁目１０番６号　ＮＥＭ．ＢＬＤ１階","03-5986-0856","株式会社　ツルハ　代表取締役　鶴羽　順","小林　祐貴","薬局現存"
"アイランド薬局　大谷口店","〒173－0032 板橋区大谷口上町２１番８号　高津ビル１階","03-5917-1067","アポロメディカルホールディングス　株式会社　代表取締役　都筑　朋英","庄子　慎太郎","薬局現存"
"共創未来　大山薬局","〒173－0033 板橋区大山西町３番９号","03-5965-6203","株式会社　ファーマみらい　代表取締役　岡山　善郎","田中　千穂","薬局現存"
"廣瀬薬局","〒173－0024 板橋区大山金井町２９番１３号","03-3956-8441","株式会社　廣瀬薬局　代表取締役　廣瀨　悠一","廣瀨　悠一","薬局現存"
"まえの薬局　北口店","〒174－0071 板橋区常盤台一丁目４４番１号","03-5918-9654","有限会社　二階堂調剤薬局　代表取締役　石井　美佐子","新田　弥生","薬局現存"
"さくら薬局　板橋店","〒173－0032 板橋区大谷口上町２９番８号","03-5995-5683","クラフト　株式会社　代表取締役　大塚　吉史","和田　侑士","薬局現存"
"さくら薬局　小茂根店","〒173－0037 板橋区小茂根四丁目９番１０号　酒井ビル１階","03-5995-1511","クラフト　株式会社　代表取締役　大塚　吉史","市川　皓太","薬局現存"
"さくら薬局　本店","〒173－0032 板橋区大谷口上町２８番１１号","03-3957-1122","クラフト　株式会社　代表取締役　大塚　吉史","小林　拓也","薬局現存"
"日本調剤　ときわ台薬局","〒174－0071 板橋区常盤台一丁目２番３号","03-5914-6077","日本調剤　株式会社　代表取締役　三津原　庸介","城所　隆之","薬局現存"
"あかり薬局","〒173－0031 板橋区大谷口北町３５番４号","03-5926-3510","有限会社　メガバック　代表取締役　尾島　清二","中島　房代","薬局現存"
"すみれ薬局　本店","〒175－0082 板橋区高島平一丁目６９番１４－１０１号　ヴィラ高島平","03-6915-7040","エスケイメディカル　株式会社　代表取締役　小原　賢二郎","瀬川　千恵","薬局現存"
"にしたか薬局","〒175－0091 板橋区三園一丁目４７番９号","03-3938-3133","有限会社　北斗調剤薬局　代表取締役　井上　雅博","佐藤　功","薬局現存"
"板橋鈴薬局","〒173－0004 板橋区板橋三丁目６番１１号　フラワーイレブン１階","03-5944-1931","株式会社　エスシーグループ　代表取締役　皿澤　康孝","中林　秀彰","薬局現存"
"西台鈴薬局","〒174－0046 板橋区蓮根三丁目９番１１号　ライオンズプラザ西台駅前１階Ｂ号室","03-5914-4300","株式会社　エスシーグループ　代表取締役　皿澤　康孝","藤本　雅子","薬局現存"
"うさぎ薬局","〒175－0092 板橋区赤塚六丁目２５番１１号","03-3930-9327","有限会社　板垣ドラックストア　代表取締役　板垣　文男","坂入　宏","薬局現存"
"サン薬局","〒174－0056 板橋区志村三丁目９番４号　１０３号","03-5392-0301","有限会社　サン薬局　代表取締役　根　綾子","根　綾子","薬局現存"
"ライフ薬局　四葉店","〒175－0084 板橋区四葉二丁目１番１０号　１０１　四葉メディカルモール","03-5967-0133","株式会社　ライフ　代表取締役　中村　哲夫","今西　千惠","薬局現存"
"アップル薬局　成増店","〒175－0094 板橋区成増一丁目２８番１５号３０３号　林屋ビル","03-6915-6481","株式会社　アップルケアネット　小林　博美","相坂　飛雄馬","薬局現存"
"ほほえみ薬局","〒175－0081 板橋区新河岸一丁目４番１０号","03-6906-4220","有限会社　ケンコウ　髙野　浩","豊田　吉識","薬局現存"
"赤塚薬局","〒175－0093 板橋区赤塚新町三丁目１７番８号","03-5967-1418","有限会社　あおば　代表取締役　石井　丈之","安田　孝優","薬局現存"
"ソーシン薬局　徳丸店","〒175－0083 板橋区徳丸五丁目３番２３号","03-3931-7780","有限会社　ソーシン　代表取締役　小杉　潤造","山本　博子","薬局現存"
"イオン薬局　板橋店","〒175－0083 板橋区徳丸二丁目６番１号","03-5398-3143","イオンリテール　株式会社　代表取締役　井出　武美","柴田　豊","薬局現存"
"日本調剤　上板橋薬局","〒174－0076 板橋区上板橋二丁目３６番１号","03-5922-3680","日本調剤　株式会社　代表取締役　三津原　庸介","新井　理恵","薬局現存"
"ファーコス薬局　かみいたばし","〒174－0076 板橋区上板橋三丁目１７番７－１０１号　シンメイ上板橋マンション","03-5922-1566","株式会社　ファーコス　代表取締役　島田　光明","山口　航","薬局現存"
"むさしの薬局　中板橋店","〒173－0016 板橋区中板橋２７番８号","03-3963-3971","株式会社　むさしの薬局　代表取締役　小坂　嘉英","佐々木　稔","薬局現存"
"蓮沼薬局","〒174－0061 板橋区大原町６番７号","03-3966-0521","野村　八重子","野村　素子","薬局現存"
"いたばし調剤薬局","〒174－0071 板橋区常盤台二丁目２４番１８号","03-6782-2220","株式会社　セカンド企画　代表取締役　髙倉　秀彦","仲村　英史","薬局現存"
"日本調剤　成増薬局","〒175－0094 板橋区成増二丁目２１番４号　１階","03-5967-3061","日本調剤　株式会社　代表取締役　三津原　庸介","栗原　友理","薬局現存"
"アサヒ薬局　板橋店","〒173－0004 板橋区板橋一丁目３６番１－１０２号　ＴＹビル","03-6912-4961","株式会社　サンキュア　代表取締役　中澤　勇人","中澤　勇人","薬局現存"
"みその薬局","〒175－0091 板橋区三園一丁目１５番８号","03-5383-2289","株式会社　メデカルユニオン　代表取締役社長　並木　友子","菱沼　治妃","薬局現存"
"ヒカリ薬局　大山店","〒173－0014 板橋区大山東町５９番１１号　植井ビル１階","03-6909-6310","有限会社　下田調剤センター　代表取締役　酒井　雅典","細田　泰香","薬局現存"
"はすね鈴薬局","〒174－0046 板橋区蓮根二丁目３１番３号","03-5948-7394","株式会社　エスシーグループ　代表取締役　皿澤　康孝","西藤　靖子","薬局現存"
"竹内薬局","〒173－0014 板橋区大山東町５８番１３号","03-5944-1273","株式会社　竹内調剤薬局　代表取締役　竹内　稔","片山　美恵子","薬局現存"
"そうごう薬局　高島平店","〒175－0082 板橋区高島平２丁目３３番１号　ピーコックストア高島平店２階","03-5399-1211","総合メディカル　株式会社　代表取締役　貞久　雅利","岩城　禎男","薬局現存"
"さと薬局徳丸店","〒175－0083 板橋区徳丸一丁目１番２０号","03-6906-9763","有限会社　内観堂　取締役　根岸　裕里","伊藤　佳子","薬局現存"
"なります薬局","〒175－0094 板橋区成増一丁目２番９号　ミナミマンションⅡ１０１","03-5998-8100","株式会社　セカンド企画　代表取締役　髙倉　秀彦","鶴薗　美香","薬局現存"
"成増南薬局","〒175－0094 板橋区成増一丁目１６番３号","03-3938-5682","株式会社　セカンド企画　代表取締役　髙倉　秀彦","滝澤　友美","薬局現存"
"志村坂上薬局","〒174－0056 板橋区志村二丁目５番１２号","03-3969-9200","株式会社　セカンド企画　代表取締役　髙倉　秀彦","河西　幸男","薬局現存"
"日生薬局　大山店","〒173－0014 板橋区大山東町５８番１２号","03-5944-1451","ミアヘルサ　株式会社　代表取締役　青木　勇","田口　有香","薬局現存"
"プラザ薬局　大山１号店","〒173－0014 板橋区大山東町５８番１２号　吉野ビル１階","03-6905-6568","株式会社　薬栄　代表取締役　三津原　庸介","柏木　智子","薬局現存"
"メディスンショップ　なります薬局","〒175－0094 板橋区成増二丁目２１番２１号　東京飯店ビル１階","03-5968-8558","有限会社　匠　代表取締役　七戸　匠","秋澤　英","薬局現存"
"クリエイト薬局　板橋蓮根店","〒174－0043 板橋区坂下二丁目１６番５号","03-5916-6551","株式会社　クリエイトエス・ディー　代表取締役　廣瀨　泰三","玉津　邦晃","薬局現存"
"ダイエー西台店薬局","〒174－0046 板橋区蓮根三丁目８番１２号","03-5392-3480","株式会社　ダイエー　代表取締役　近澤　靖英","石濵　尋和","薬局現存"
"倉持薬局","〒173－0004 板橋区板橋一丁目５３番１０号","03-3963-8832","株式会社　倉持薬局　代表取締役　倉持　彰志","佐藤　明子","薬局現存"
"共創未来　高島平薬局","〒175－0082 板橋区高島平二丁目２２番８号　高島平セレナビル１階","03-5398-6321","株式会社　ファーマみらい　代表取締役　岡山　善郎","田中　寿幸","薬局現存"
"共創未来　板橋薬局","〒173－0004 板橋区板橋四丁目４７番１２号　１階","03-5943-7380","株式会社　ファーマみらい　代表取締役　岡山　善郎","草野　美砂","薬局現存"
"共創未来　幸町薬局","〒173－0034 板橋区幸町４０番７号　雅マンション１階","03-3530-8667","株式会社　ファーマみらい　代表取締役　岡山　善郎","海老原　真美子","薬局現存"
"共創未来　相生薬局","〒174－0044 板橋区相生町２","03-5921-2880","株式会社　ファーマみらい　代表取締役　岡山　善郎","庄司　恵美加","薬局現存"
"巣鴨萬盛堂薬局　大山東町店","〒173－0014 板橋区大山東町５８番１５号","03-5248-2951","株式会社　巣鴨萬盛堂薬局　代表取締役　内山　賢一","高橋　君代","薬局現存"
"こぐま薬局","〒174－0041 板橋区舟渡二丁目４番１号","03-6279-8842","株式会社　ティーエムエス　代表取締役　北　永久","等々力　憲一","薬局現存"
"大谷口調剤薬局","〒173－0032 板橋区大谷口上町３２番８号","03-3958-8771","株式会社　ウィーズ　代表取締役　竹林　和人","野島　美紀","薬局現存"
"さくら薬局　板橋愛染通り店","〒173－0012 板橋区大和町４３番１４号","03-6909-6581","クラフト　株式会社　代表取締役　大塚　吉史","牧野　成美","薬局現存"
"サンドラッグ高島平薬局","〒175－0082 板橋区高島平八丁目１３番６号","03-3936-3663","株式会社　サンドラッグ　代表取締役　貞方　宏司","小原　直弥","薬局現存"
"成増薬局　駅前店","〒175－0094 板橋区成増二丁目１１番６号","03-6786-2020","株式会社　セカンド企画　代表取締役　髙倉　秀彦","安倍　吉郎","薬局現存"
"のぞみ薬局　西台店","〒175－0082 板橋区高島平九丁目８番２号","03-6906-9006","株式会社　スマイルファーマ　代表取締役　野村　大樹","小堀　智子","薬局現存"
"ローズ薬局","〒173－0024 板橋区大山金井町５２番７号　カームフラッツ１階","03-3972-1193","桐原　陽一","桐原　陽一","薬局現存"
"御代の台薬局　前野町店","〒174－0063 板橋区前野町二丁目４８番２号","03-5918-8844","みよの台薬局　株式会社　代表取締役　津城　尊利","佐倉　美和","薬局現存"
"さくら薬局　高島平東口店","〒175－0082 板橋区高島平八丁目５番１０号　ＭＡビル１階","03-5399-2759","クラフト　株式会社　代表取締役　大塚　吉史","竹中　博子","薬局現存"
"おおつき薬局","〒173－0014 板橋区大山東町５６番１２号","03-3579-3881","株式会社　エスシーグループ　代表取締役　皿澤　康孝","宮本　奈味","薬局現存"
"薬局トモズ　大谷口店","〒173－0035 板橋区大谷口二丁目６７番３号","03-5964-5085","株式会社　トモズ　代表取締役　德廣　英之","鈴木　久美子","薬局現存"
"スギ薬局　高島平店","〒175－0082 板橋区高島平一丁目５４番１６号　ローヤル高穂１階","03-6906-5391","株式会社　スギ薬局　代表取締役　原　栄一","分田　雅実","薬局現存"
"二階堂調剤薬局　ときわ台店","〒174－0072 板橋区南常盤台一丁目３０番２１号　　１０１号　ＸＥＢＥＣ　ＴＯＫＩＷＡＤＡＩ","03-3958-9955","有限会社　二階堂調剤薬局　代表取締役　石井　美佐子","氏家　博子","薬局現存"
"ケイワ薬局　板橋区役所前店","〒173－0004 板橋区板橋二丁目６６番１６号","03-5969-8827","株式会社　エスシーグループ　代表取締役　皿澤　康孝","吉田　英理","薬局現存"
"ケイワ薬局　大和町店","〒173－0012 板橋区大和町１６番７号　メゾン大和町１階","03-6905-6181","株式会社　エスシーグループ　代表取締役　皿澤　康孝","橋本　佳奈","薬局現存"
"ケイワ薬局　板橋本町店","〒173－0012 板橋区大和町１４番１２号","03-5375-0491","株式会社　エスシーグループ　代表取締役　皿澤　康孝","中田　久雄","薬局現存"
"ケイワ薬局　赤塚店","〒175－0092 板橋区赤塚五丁目１番４号","03-5876-5611","株式会社　エスシーグループ　代表取締役　皿澤　康孝","田中　加奈子","薬局現存"
"フジ薬局板橋大山店","〒173－0033 板橋区大山西町６３番３号　ドエルフローラ１階","03-5926-3289","株式会社　ＬａｓｉＱ　代表取締役　藤田　元","黒田　幸樹","薬局現存"
"イオン薬局　板橋前野町店","〒174－0063 板橋区前野町四丁目２１番２２号","03-5916-8120","イオンリテール　株式会社　代表取締役　井出　武美","樋口　稜","薬局現存"
"そうごう薬局　大谷口北店","〒173－0031 板橋区大谷口北町７０番７号","03-3959-7298","総合メディカル　株式会社　代表取締役　貞久　雅利","橋本　泰地","薬局現存"
"アイン薬局　板橋店","〒173－0002 板橋区稲荷台１０番８号","03-6905-0366","株式会社　アインファーマシーズ　代表取締役　大石　美也","笠　恵","薬局現存"
"スギ薬局　成増駅南口店","〒175－0094 板橋区成増二丁目１５番１８号　成増プライムビル１階","03-6909-9681","株式会社　スギ薬局　代表取締役　原　栄一","前野　恵美","薬局現存"
"さくら薬局　赤塚新町店","〒175－0093 板橋区赤塚新町三丁目５番１４号","03-3975-5959","クラフト　株式会社　代表取締役　大塚　吉史","田口　雄一","薬局現存"
"キタマチ薬局　宮の下店","〒175－0083 板橋区徳丸二丁目２９番１３号","03-5922-1666","ファーマライズ　株式会社　代表取締役　松浦　惠子","廣島　ひとみ","薬局現存"
"スギ薬局　板橋幸町店","〒173－0034 板橋区幸町４０番３号","03-5926-7161","株式会社　スギ薬局　代表取締役　原　栄一","嶋﨑　千明","薬局現存"
"ファーコス薬局　ミナミ堂","〒175－0082 板橋区高島平二丁目３３番７号　１０５","03-3936-0156","株式会社　ファーコス　代表取締役　島田　光明","阿河　久美子","薬局現存"
"ファーコス薬局　天馬堂","〒175－0082 板橋区高島平二丁目３２番２号　１１０","03-5399-7021","株式会社　ファーコス　代表取締役　島田　光明","井口　昌信","薬局現存"
"プラザ薬局　大山２号店","〒173－0014 板橋区大山東町５９番１３号","03-6915-5916","株式会社　薬栄　代表取締役　三津原　庸介","荒川　幸子","薬局現存"
"日生薬局　小豆沢店","〒174－0051 板橋区小豆沢二丁目１９番８号","03-6454-5023","ミアヘルサ　株式会社　代表取締役　青木　勇","市橋　裕也","薬局現存"
"いるか薬局　水星店","〒173－0037 板橋区小茂根一丁目３２番１号　１階","03-3554-7474","有限会社　いるかメディカル　取締役　劉　玉昆","千原　康子","薬局現存"
"いたばし薬局","〒174－0071 板橋区常盤台四丁目３２番１号","03-6915-7729","株式会社　ラポール　代表取締役　秋元　敦夫","子　祐貴","薬局現存"
"ひかり調剤薬局","〒175－0082 板橋区高島平九丁目１７番１５号","03-5399-3998","株式会社　セカンド企画　代表取締役　髙倉　秀彦","遠藤　誠司","薬局現存"
"薬局トモズ　大山店","〒173－0023 板橋区大山町３６番１０号　くじゃくやビル１階","03-3530-5112","株式会社　トモズ　代表取締役　德廣　英之","上野　美紅","薬局現存"
"薬局トモズ　上板橋南口店","〒174－0076 板橋区上板橋一丁目２５番１０号　ＪＴプラザ上板橋１階","03-5921-2888","株式会社　トモズ　代表取締役　德廣　英之","松永　志保","薬局現存"
"まこ薬局","〒174－0041 板橋区舟渡一丁目１３番１０号　アイタワー１階","03-3965-5515","株式会社　まこ薬局　代表取締役　笛木　淳","井田　千枝美","薬局現存"
"さくら薬局　下赤塚店","〒175－0093 板橋区赤塚新町一丁目２４番３号","03-3977-9605","クラフト　株式会社　代表取締役　大塚　吉史","梅本　忠夫","薬局現存"
"あすか薬局","〒175－0083 板橋区徳丸三丁目１番１７号","03-5922-6560","株式会社　シナモン調剤　代表取締役　佐野　恭広","中村　俊一","薬局現存"
"オリーブ薬局","〒173－0011 板橋区双葉町４０番１３号","03-6905-6472","Ｈ２ＳＴＡＴＩＯＮ　株式会社　代表取締役　日野　一志","日野　一志","薬局現存"
"アイエス薬局　中台店","〒174－0064 板橋区中台一丁目５番４号","03-5922-3881","アイエス　株式会社　代表取締役　市村　保房","伊澤　智砂野","薬局現存"
"二階堂調剤薬局","〒173－0023 板橋区大山町８番１０号","03-3958-9396","有限会社　二階堂調剤薬局　代表取締役　石井　美佐子","清水　裕子","薬局現存"
"あけぼの薬局　中板橋店","〒173－0016 板橋区中板橋２０番５－１０１号　モダ・ビエント中板橋","03-5944-3778","株式会社　アルファーマ　代表取締役　髙荷　俊洋","網谷　岳朗","薬局現存"
"そうごう薬局　志村坂上店","〒174－0056 板橋区志村二丁目１０番１号　ＰＬＡＺＡ　ＮＩＫＩ　１階","03-5948-7611","総合メディカル　株式会社　代表取締役　貞久　雅利","髙橋　幸寛","薬局現存"
"笑和生活薬局","〒174－0046 板橋区蓮根二丁目１７番７号","03-5918-7549","株式会社　スローステップ　代表取締役　李　宰勲","西沢　宏司","薬局現存"
"アイセイ薬局　成増駅前店","〒175－0094 板橋区成増二丁目１４番５号","03-5968-8260","株式会社　アイセイ薬局　代表取締役　藤井　江美","杉山　怜美","薬局現存"
"はちま薬局","〒175－0092 板橋区赤塚三丁目９番１号　リバティカイト１階","03-3938-0877","株式会社　バシラックス　代表取締役　大道　一馬","鈴木　光","薬局現存"
"成増けやき薬局","〒175－0094 板橋区成増二丁目１７番８号","03-5967-3800","ウェルフィールド　株式会社　代表取締役　福田　泰資","福田　泰資","薬局現存"
"日本調剤　高島平薬局","〒175－0082 板橋区高島平二丁目３３番７－１０３号","03-6912-3671","日本調剤　株式会社　代表取締役　三津原　庸介","西田　真也","薬局現存"
"フクシ板橋薬局","〒173－0004 板橋区板橋四丁目４番４号　セレブ新板橋ビル２０２号","03-5944-3250","株式会社　フクシメディカル　代表取締役　吉田　徹","鈴木　睦子","薬局現存"
"一番通り薬局","〒175－0092 板橋区赤塚二丁目１０番１５号","03-6909-2066","一般社団法人　東京メディエール　代表理事　武井　ふみ子","領家　久朋","薬局現存"
"みどり薬局","〒174－0051 板橋区小豆沢一丁目９番１４号","03-3558-7993","一般社団法人　東京メディエール　代表理事　武井　ふみ子","奈良　義明","薬局現存"
"志村薬局","〒174－0043 板橋区坂下一丁目１２番２１号","03-3966-0680","一般社団法人　東京メディエール　代表理事　武井　ふみ子","篠﨑　祥子","薬局現存"
"りおん薬局　志村坂店","〒174－0042 板橋区東坂下一丁目９番５号　２階","03-6279-8164","株式会社　ＦｉＮＥ　代表取締役　平井　文朗","山崎　正貴","薬局現存"
"サンシティ調剤薬局","〒174－0064 板橋区中台三丁目２７番７－２０７号","03-3933-1180","株式会社　エスシーグループ　代表取締役　皿澤　康孝","加藤　淳子","薬局現存"
"まえの本通り薬局","〒174－0063 板橋区前野町四丁目１４番１号","03-5970-2971","株式会社　ステップファーマ　代表取締役　上内　邦夫","上内　邦夫","薬局現存"
"ファーマライズ薬局　西友成増店","〒175－0094 板橋区成増三丁目１１番３号　西友成増店１階","03-3976-2852","ファーマライズ　株式会社　代表取締役　松浦　惠子","貫井　早穂子","薬局現存"
"むさしの薬局　赤塚店","〒175－0092 板橋区赤塚一丁目１０番８号","03-5968-3966","株式会社　むさしの薬局　代表取締役　小坂　嘉英","道幸　君子","薬局現存"
"セイリン薬局","〒174－0046 板橋区蓮根二丁目１５番３号","03-5994-4947","株式会社　かぶと　代表取締役　堀内　健二","堀内　健二","薬局現存"
"のぞみ薬局　板橋本町店","〒173－0001 板橋区本町３９番２号　タカミハイツ１階","03-5944-1704","長田　寿江","長田　寿江","薬局現存"
"なぎさ薬局　板橋店","〒173－0032 板橋区大谷口上町２９番６号　ランディエ２９　１階","03-5948-3680","寛一商店　株式会社　代表取締役　瀬川　安紀子","吉野　花奈","薬局現存"
